calibration_basis_error,calibration_peak_state_bytes,calibration_size,clean_marginal_attenuation_rate,clean_target_correlation_error,clean_target_scale_scatter_error,contaminate_calibration,contaminated_calibration_rows,contaminated_cells,contamination_phase,diagnostics,effective_n,elapsed_seconds,epoch_size,front_loaded,k,marginal_clipped_coordinates,marginal_lambda,marginal_retained_contamination_rate,method,n,output_bytes,p,parallel_clipped_rows,parallel_lambda,rank,relative_location_error,relative_scale_error,residual_clipped_rows,residual_lambda,scenario,scheduled,seed,spectrum,state_bytes,status,subspace_error,subspace_error_final_regime,throughput_rows_per_second,tier,transformed_target_compression_error,transformed_target_scatter_compression_error
,0,512,,0.026113829011344927,0.02738789606081707,,0,0,,{},4000,0.003238129,,,10,0,3.0,,pearson,4000,22000,50,0,4.0,5,,,0,1.5,clean,,500,strong,400,completed,0.016963076799479896,,1235281.2380235624,dense,,
,0,512,,0.035558497855093116,,,0,0,,{},4000,0.634535782,,,10,0,3.0,,force,4000,22000,50,0,4.0,5,,,0,1.5,clean,,500,strong,4040,completed,0.01965023377717599,,6303.821019190372,dense,,
,0,512,,0.03642735653981391,,,0,0,,{},4000,2.130192041,,,10,0,3.0,,mad_force,4000,22000,50,0,4.0,5,,,0,1.5,clean,,500,strong,195600,completed,0.01959699276954977,,1877.7649728342028,dense,,
,0,512,0.003145,1.3651138547074033,0.5380169160690046,,0,0,,"{'effective_n': 4000, 'trim_mode': 'mad'}",4000,8.270735841,,,10,0,3.0,,sketch_mad,4000,22000,50,0,4.0,5,,,0,1.5,clean,,500,strong,38024,completed,0.17324908466011943,,483.63290484639236,dense,1.3742477587963777,0.5355387517931336
,1304752,512,0.003463302752293578,1.3931629922602333,0.575929120797616,,0,0,,"{'phase': 'estimating', 'ready': True, 'total_seen': 4000, 'epoch_index': 0, 'epoch_seen': 4000, 'calibration_count': 512, 'effective_n': 3488, 'serving_epoch': 0, 'serving_n': 3488, 'basis_rank': 10, 'parallel_radius': 10.64211907375996, 'residual_radius': 5.66639015415099, 'marginal_clipped_coordinates': 604, 'parallel_clipped_rows': 1, 'residual_clipped_rows': 318, 'state_bytes': 13200, 'calibration_peak_state_bytes_bound': 1304752, 'epoch_history': []}",3488,0.282884643,,,10,604,3.0,,dual_bound,4000,22000,50,1,4.0,5,,,318,1.5,clean,,500,strong,13200,completed,0.17825432804379507,,14140.03940821913,dense,1.3839352141497892,0.5942371254172061
,0,512,,0.8369969860434231,18388163.62171082,,0,17450,,{},4000,0.0028084,,,10,0,3.0,,pearson,4000,22000,50,0,4.0,5,,,0,1.5,casewise_cauchy,,500,strong,400,completed,0.95185750747359,,1424298.5329725111,dense,,
,0,512,,0.09092596766960516,,,0,17450,,{},4000,0.616249764,,,10,0,3.0,,force,4000,22000,50,0,4.0,5,,,0,1.5,casewise_cauchy,,500,strong,4040,completed,0.04712695100384789,,6490.874696708201,dense,,
,0,512,,0.049806357295623466,,,0,17450,,{},4000,2.201176264,,,10,0,3.0,,mad_force,4000,22000,50,0,4.0,5,,,0,1.5,casewise_cauchy,,500,strong,195600,completed,0.025619706037695554,,1817.2102186542568,dense,,
,0,512,0.0018625034237195288,1.7608918840594088,0.873290854843695,,0,17450,,"{'effective_n': 4000, 'trim_mode': 'mad'}",4000,8.52693348,,,10,0,3.0,0.2625214899713467,sketch_mad,4000,22000,50,0,4.0,5,,,0,1.5,casewise_cauchy,,500,strong,38024,completed,0.5968128366751347,,469.10181830103824,dense,2.654396436808644,0.9142828709518109
,1304752,512,0.003510672188595094,1.3373987600862647,0.6007435278179094,,0,17450,,"{'phase': 'estimating', 'ready': True, 'total_seen': 4000, 'epoch_index': 0, 'epoch_seen': 4000, 'calibration_count': 512, 'effective_n': 3488, 'serving_epoch': 0, 'serving_n': 3488, 'basis_rank': 10, 'parallel_radius': 10.64211907375996, 'residual_radius': 5.66639015415099, 'marginal_clipped_coordinates': 13781, 'parallel_clipped_rows': 32, 'residual_clipped_rows': 641, 'state_bytes': 13200, 'calibration_peak_state_bytes_bound': 1304752, 'epoch_history': []}",3488,0.298457566,,,10,13781,3.0,0.24183381088825215,dual_bound,4000,22000,50,32,4.0,5,,,641,1.5,casewise_cauchy,,500,strong,13200,completed,0.18719114738784468,,13402.240236724305,dense,1.4477038834858853,0.6540856720619247
,0,512,,0.7975165934483713,16263813.252793465,,0,17193,,{},4000,0.002783129,,,10,0,3.0,,pearson,4000,22000,50,0,4.0,5,,,0,1.5,cellwise_cauchy,,500,strong,400,completed,0.9635558143427783,,1437231.260211079,dense,,
,0,512,,0.14258200941073343,,,0,17193,,{},4000,0.584343339,,,10,0,3.0,,force,4000,22000,50,0,4.0,5,,,0,1.5,cellwise_cauchy,,500,strong,4040,completed,0.04764395035291949,,6845.290658819335,dense,,
