calibration_peak_state_bytes,calibration_size,clean_marginal_attenuation_rate,clean_target_correlation_error,clean_target_scale_scatter_error,contaminated_calibration_rows,contaminated_cells,diagnostics,effective_n,elapsed_seconds,k,marginal_clipped_coordinates,marginal_lambda,marginal_retained_contamination_rate,method,n,output_bytes,p,parallel_clipped_rows,parallel_lambda,rank,residual_clipped_rows,residual_lambda,scenario,seed,spectrum,state_bytes,status,subspace_error,throughput_rows_per_second,tier,transformed_target_compression_error,transformed_target_scatter_compression_error
0,512,0.0027058333333333335,3.005754385503536,0.9981381132522308,0,0,{'qualification': 'offline exact-MAD oracle ablation'},6000,0.290142592,10,0,3.0,,exact_mad_fd,6000,336000,200,0,4.0,10,0,1.5,clean,500,strong,355200,completed,0.7832227394778758,20679.487139895686,oracle_ablation,3.009604637652983,0.9981299619197531
0,512,0.0027058333333333335,3.2441395362251737,0.8565092113089195,0,0,{'qualification': 'offline exact-MAD oracle ablation'},6000,0.312893799,20,0,3.0,,exact_mad_fd,6000,336000,200,0,4.0,10,0,1.5,clean,500,strong,387200,completed,0.46404541408295297,19175.835440573883,oracle_ablation,3.249617760427839,0.8559216721506133
0,512,0.0027058333333333335,2.20445494925829,0.5634715289726951,0,0,{'qualification': 'offline exact-MAD oracle ablation'},6000,0.423218533,40,0,3.0,,exact_mad_fd,6000,336000,200,0,4.0,10,0,1.5,clean,500,strong,451200,completed,0.1625409168266458,14177.072911880256,oracle_ablation,2.208095460567013,0.5617742083827121
0,512,0.0009145110988809393,3.5687283547258963,0.9974272968372997,0,109800,{'qualification': 'offline exact-MAD oracle ablation'},6000,0.247436156,10,0,3.0,0.23867941712204008,exact_mad_fd,6000,336000,200,0,4.0,10,0,1.5,casewise_cauchy,500,strong,355200,completed,0.9140637934017163,24248.679323970748,oracle_ablation,4.575478544066703,0.9971921464966418
0,512,0.0009145110988809393,2.407579561340832,0.9915554405750703,0,109800,{'qualification': 'offline exact-MAD oracle ablation'},6000,0.312002657,20,0,3.0,0.23867941712204008,exact_mad_fd,6000,336000,200,0,4.0,10,0,1.5,casewise_cauchy,500,strong,387200,completed,0.9269957200139206,19230.60546244002,oracle_ablation,3.0588831858769026,0.9921945711786796
0,512,0.0009145110988809393,1.8923050603351366,0.7961167716022105,0,109800,{'qualification': 'offline exact-MAD oracle ablation'},6000,0.457267843,40,0,3.0,0.23867941712204008,exact_mad_fd,6000,336000,200,0,4.0,10,0,1.5,casewise_cauchy,500,strong,451200,completed,0.5670904219116725,13121.412519707843,oracle_ablation,2.8322194381249335,0.8771108872861267
0,512,0.0009401660012125848,3.170334005952479,0.9990829023278435,0,109767,{'qualification': 'offline exact-MAD oracle ablation'},6000,0.281179493,10,0,3.0,0.23786748294113896,exact_mad_fd,6000,336000,200,0,4.0,10,0,1.5,cellwise_cauchy,500,strong,355200,completed,0.9017126621068138,21338.68276090817,oracle_ablation,4.348697598812647,0.9992748412748349
0,512,0.0009401660012125848,2.2000737181255534,0.9958269354840849,0,109767,{'qualification': 'offline exact-MAD oracle ablation'},6000,0.345751781,20,0,3.0,0.23786748294113896,exact_mad_fd,6000,336000,200,0,4.0,10,0,1.5,cellwise_cauchy,500,strong,387200,completed,0.8174479433261255,17353.489785783637,oracle_ablation,3.1172517398184745,0.997027359478658
0,512,0.0009401660012125848,2.591886691515937,0.8460985474687447,0,109767,{'qualification': 'offline exact-MAD oracle ablation'},6000,0.474153701,40,0,3.0,0.23786748294113896,exact_mad_fd,6000,336000,200,0,4.0,10,0,1.5,cellwise_cauchy,500,strong,451200,completed,0.4507258051154582,12654.124574680902,oracle_ablation,4.000099248704845,0.9103805055579262
0,512,0.005066960190790681,3.1841335393951398,0.9983801866849923,0,109800,{'qualification': 'offline exact-MAD oracle ablation'},6000,0.276695959,10,0,3.0,1.0,exact_mad_fd,6000,336000,200,0,4.0,10,0,1.5,bounded_out_of_subspace,500,strong,355200,completed,0.8071083595607427,21684.451127094344,oracle_ablation,2.8349550817286544,0.997381784944498
0,512,0.005066960190790681,3.563033143733425,0.9119554724886911,0,109800,{'qualification': 'offline exact-MAD oracle ablation'},6000,0.363209419,20,0,3.0,1.0,exact_mad_fd,6000,336000,200,0,4.0,10,0,1.5,bounded_out_of_subspace,500,strong,387200,completed,0.5389650422804588,16519.395384952833,oracle_ablation,3.1332801165386983,0.8248362644351139
0,512,0.005066960190790681,2.272313548689026,0.6819904302716845,0,109800,{'qualification': 'offline exact-MAD oracle ablation'},6000,0.383143209,40,0,3.0,1.0,exact_mad_fd,6000,336000,200,0,4.0,10,0,1.5,bounded_out_of_subspace,500,strong,451200,completed,0.35623710901462363,15659.940876049823,oracle_ablation,1.967680074018574,0.5206594072836445
0,512,0.004083654375343974,7.6062040177593095,0.936176564291964,0,109800,{'qualification': 'offline exact-MAD oracle ablation'},6000,0.279019166,10,0,3.0,1.0,exact_mad_fd,6000,336000,200,0,4.0,10,0,1.5,in_subspace_leverage,500,strong,355200,completed,0.8550865641532437,21503.899126413417,oracle_ablation,5.4926405006046,0.709660873517919
0,512,0.004083654375343974,5.0756960182474815,0.9499882868520874,0,109800,{'qualification': 'offline exact-MAD oracle ablation'},6000,0.3038075,20,0,3.0,1.0,exact_mad_fd,6000,336000,200,0,4.0,10,0,1.5,in_subspace_leverage,500,strong,387200,completed,0.562039114851379,19749.347860075868,oracle_ablation,3.5140821758347767,0.574412423575797
0,512,0.004083654375343974,3.052757428631214,0.8294383913677539,0,109800,{'qualification': 'offline exact-MAD oracle ablation'},6000,0.469839699,40,0,3.0,1.0,exact_mad_fd,6000,336000,200,0,4.0,10,0,1.5,in_subspace_leverage,500,strong,451200,completed,0.2218020653588756,12770.312965827095,oracle_ablation,1.9827119119663574,0.3740577688825405
0,512,0.004699137772885709,3.3795083492468523,0.9984728991735281,0,109800,{'qualification': 'offline exact-MAD oracle ablation'},6000,0.276845373,10,0,3.0,0.9601457194899817,exact_mad_fd,6000,336000,200,0,4.0,10,0,1.5,mixed,500,strong,355200,completed,0.8100533469760793,21672.747985569546,oracle_ablation,3.146401321370549,0.9973898169681417
0,512,0.004699137772885709,3.502185292135454,0.9116525372345265,0,109800,{'qualification': 'offline exact-MAD oracle ablation'},6000,0.349889377,20,0,3.0,0.9601457194899817,exact_mad_fd,6000,336000,200,0,4.0,10,0,1.5,mixed,500,strong,387200,completed,0.547041723667029,17148.277125315526,oracle_ablation,3.2349841411031717,0.8503219513317797
0,512,0.004699137772885709,2.2424509826433403,0.669196781316166,0,109800,{'qualification': 'offline exact-MAD oracle ablation'},6000,0.446024769,40,0,3.0,0.9601457194899817,exact_mad_fd,6000,336000,200,0,4.0,10,0,1.5,mixed,500,strong,451200,completed,0.35498623291737963,13452.167720308824,oracle_ablation,2.0617355921539655,0.5474180118703649
0,512,0.002765,4.694652244750191,0.999423714758833,0,0,{'qualification': 'offline exact-MAD oracle ablation'},6000,0.293619912,10,0,3.0,,exact_mad_fd,6000,336000,200,0,4.0,10,0,1.5,clean,500,weak,355200,completed,0.9455549760144154,20434.581425799217,oracle_ablation,4.703369855704241,0.9994218910793421
0,512,0.002765,3.2717407919510544,0.9982459937041374,0,0,{'qualification': 'offline exact-MAD oracle ablation'},6000,0.364582509,20,0,3.0,,exact_mad_fd,6000,336000,200,0,4.0,10,0,1.5,clean,500,weak,387200,completed,0.9221211786047215,16457.180067297195,oracle_ablation,3.27860455157437,0.9982418356004006
