attacked_rows,basis_path,basis_sha256,calibration_peak_state_bytes,elapsed_seconds,incremental_rss_bytes,k,method,n,output_bytes,p,peak_rss_bytes,rank,recomputed_subspace_error,scenario,seed,state_bytes,status,subspace_error,throughput_rows_per_second,tier
6807,results/pbmc-certified-rerun/seed500/bases/seed500-bounded_out_of_subspace-dual_bound.basis.npz,b4e16d102aff4102967331be788ff792e28ed623e474290d2c49d6800101dfb6,270532992,307.457411639,27611136,50,dual_bound,68579,1600000,10000,1960345600,20,0.968985385023419,bounded_out_of_subspace,500,12240000,completed,0.9689853850234146,223.05203063545525,pbmc
6807,results/pbmc-certified-rerun/seed500/bases/seed500-bounded_out_of_subspace-sketch_mad.basis.npz,f00ded60726a07b91e59dca0daea1a865b475b60488aaa659aea25864dcf05a4,0,382.009853722,130056192,50,sketch_mad,68579,1600000,10000,371175424,20,0.9831600772538527,bounded_out_of_subspace,500,14000024,completed,0.983160077253855,179.52154723712178,pbmc
6807,results/pbmc-certified-rerun/seed501/bases/seed501-bounded_out_of_subspace-dual_bound.basis.npz,bcbf399c0dda4f8f14b9e843c495868cd99d6e95253f87e3b3c034e2343394db,270532992,314.361351871,27615232,50,dual_bound,68579,1600000,10000,1960173568,20,0.9700816936479288,bounded_out_of_subspace,501,12240000,completed,0.9700816936478946,218.15340719154875,pbmc
6807,results/pbmc-certified-rerun/seed501/bases/seed501-bounded_out_of_subspace-sketch_mad.basis.npz,8a9047cbe637b0630352105720224d4b2368ce4bd8f1cd39440cd2a933ce8452,0,369.651326205,130048000,50,sketch_mad,68579,1600000,10000,371027968,20,0.9841348374126107,bounded_out_of_subspace,501,14000024,completed,0.9841348374126133,185.52347885252195,pbmc
6807,results/pbmc-certified-rerun/seed502/bases/seed502-bounded_out_of_subspace-dual_bound.basis.npz,f945c5a08b355c2d0982f12fdd8dceff85647ac6b032e8969b7613bab83e8ea3,270532992,315.1733031,27615232,50,dual_bound,68579,1600000,10000,1959993344,20,0.969806772373955,bounded_out_of_subspace,502,12240000,completed,0.9698067723739552,217.59139916187908,pbmc
6807,results/pbmc-certified-rerun/seed502/bases/seed502-bounded_out_of_subspace-sketch_mad.basis.npz,57989c8cc618cd8f487eb8105028e9b84088560c1582ea583439a76a01633124,0,382.919852108,129945600,50,sketch_mad,68579,1600000,10000,370839552,20,0.9830993650164329,bounded_out_of_subspace,502,14000024,completed,0.9830993650164317,179.09491926957537,pbmc
6807,results/pbmc-certified-rerun/seed503/bases/seed503-bounded_out_of_subspace-dual_bound.basis.npz,89e6d1f9b09eeb00bcf5a781f49d051e184d3982427e9500841e9fd14ae5bb70,270532992,303.92894119,27611136,50,dual_bound,68579,1600000,10000,1960398848,20,0.9705697886077302,bounded_out_of_subspace,503,12240000,completed,0.9705697886077406,225.6415586205333,pbmc
6807,results/pbmc-certified-rerun/seed503/bases/seed503-bounded_out_of_subspace-sketch_mad.basis.npz,41dde0ddb76f9f174509bfb3b725a1b6f4f9ec5df1f2fc336327a1f36b4fd1c7,0,371.409710502,130093056,50,sketch_mad,68579,1600000,10000,371298304,20,0.9834320794315087,bounded_out_of_subspace,503,14000024,completed,0.9834320794315077,184.64514540373256,pbmc
6807,results/pbmc-certified-rerun/seed504/bases/seed504-bounded_out_of_subspace-dual_bound.basis.npz,396a4e6cc7bd884e9a6680258ee97b407f74aaeb48dd990e75f39e5b0ef98d9a,270532992,309.808362728,27611136,50,dual_bound,68579,1600000,10000,1960423424,20,0.969611679497745,bounded_out_of_subspace,504,12240000,completed,0.969611679497719,221.35942166354548,pbmc
6807,results/pbmc-certified-rerun/seed504/bases/seed504-bounded_out_of_subspace-sketch_mad.basis.npz,199d8fd936baebe76594721d5fdeb8f1d89e7e03ec6305db38a95a256e36e6d8,0,385.071217474,130105344,50,sketch_mad,68579,1600000,10000,371331072,20,0.9830943133500418,bounded_out_of_subspace,504,14000024,completed,0.9830943133500418,178.09432875784972,pbmc
6807,results/pbmc-certified-rerun/seed505/bases/seed505-bounded_out_of_subspace-dual_bound.basis.npz,1a54f6b2a2a12dee35c2890d79a663481f6b5acb3bb8baaedae3dfd916f62db4,270532992,308.534271032,27615232,50,dual_bound,68579,1600000,10000,1960378368,20,0.9707395611665367,bounded_out_of_subspace,505,12240000,completed,0.9707395611665244,222.27352498188847,pbmc
6807,results/pbmc-certified-rerun/seed505/bases/seed505-bounded_out_of_subspace-sketch_mad.basis.npz,6a0094b8218cca4e7990ee5ef9ccc9cfb02955309a4fb89edc92c3e1c7d71e8b,0,391.830092883,129896448,50,sketch_mad,68579,1600000,10000,371204096,20,0.9832252444922984,bounded_out_of_subspace,505,14000024,completed,0.9832252444922946,175.02228962408358,pbmc
6807,results/pbmc-certified-rerun/seed506/bases/seed506-bounded_out_of_subspace-dual_bound.basis.npz,39e697e5515361a87d6155e54e931db2bfc1567cc1fe00ca55550088600e6ed4,270532992,310.468111648,27611136,50,dual_bound,68579,1600000,10000,1960378368,20,0.9698126603077428,bounded_out_of_subspace,506,12240000,completed,0.9698126603077334,220.88902991026964,pbmc
6807,results/pbmc-certified-rerun/seed506/bases/seed506-bounded_out_of_subspace-sketch_mad.basis.npz,8b2029e738f4f0373e532e7688a4f2f5f4b7a47e33bc8b924616e56067715509,0,374.722101351,129781760,50,sketch_mad,68579,1600000,10000,371273728,20,0.9831657115924519,bounded_out_of_subspace,506,14000024,completed,0.9831657115924484,183.01295747635245,pbmc
6807,results/pbmc-certified-rerun/seed507/bases/seed507-bounded_out_of_subspace-dual_bound.basis.npz,75704f0d92f7edef0639819b8a009451e4f656d2a4cf5bc6c80217097adb03c6,270532992,303.39040696,27611136,50,dual_bound,68579,1600000,10000,1960345600,20,0.9694519960952767,bounded_out_of_subspace,507,12240000,completed,0.9694519960952601,226.04208447843797,pbmc
6807,results/pbmc-certified-rerun/seed507/bases/seed507-bounded_out_of_subspace-sketch_mad.basis.npz,2261ba0961f162a94fee01579486dce0e03e1b3cb98a1896778bf589a858224e,0,396.604879183,130138112,50,sketch_mad,68579,1600000,10000,371224576,20,0.9836758648402243,bounded_out_of_subspace,507,14000024,completed,0.9836758648402193,172.9151697308205,pbmc
