attacked_rows,calibration_peak_state_bytes,elapsed_seconds,incremental_rss_bytes,k,method,n,output_bytes,p,peak_rss_bytes,rank,scenario,seed,state_bytes,status,subspace_error,throughput_rows_per_second,tier
6807,270532992,552.519861007,27611136,50,dual_bound,68579,1600000,10000,1959796736,20,bounded_out_of_subspace,500,12240000,completed,0.969014273229728,124.1204250558717,pbmc
6807,0,1422.198403287,33562624,50,rfd,68579,1600000,10000,1866870784,20,bounded_out_of_subspace,500,8240008,completed,0.9254440339006375,48.22041695553833,pbmc
6807,0,523.531577569,130220032,50,sketch_mad,68579,1600000,10000,370753536,20,bounded_out_of_subspace,500,14000024,completed,0.9831506799734873,130.99305359658365,pbmc
6807,0,1607.659129102,41893888,50,vanilla_fd,68579,1600000,10000,304230400,20,bounded_out_of_subspace,500,8080000,completed,0.9710686891625967,42.65767460189561,pbmc
6807,270532992,1025.280904161,54886400,50,dual_bound,68579,1600000,10000,1077579776,20,casewise,500,12240000,completed,0.9776648686809074,66.88801061414387,pbmc
6807,0,867.870331974,35282944,50,rfd,68579,1600000,10000,304283648,20,casewise,500,8240008,completed,0.9941360120591441,79.01986906732343,pbmc
6807,0,1448.655907403,130793472,50,sketch_mad,68579,1600000,10000,370212864,20,casewise,500,14000024,completed,0.9838105528349578,47.3397441376823,pbmc
6807,0,897.946714682,41910272,50,vanilla_fd,68579,1600000,10000,304304128,20,casewise,500,8080000,completed,0.9989953373046452,76.3731286931504,pbmc
68067,270532992,1119.931319223,55205888,50,dual_bound,68579,1600000,10000,1081733120,20,cellwise,500,12240000,completed,0.9921286137028731,61.23500506047068,pbmc
68067,0,880.659257643,35524608,50,rfd,68579,1600000,10000,307929088,20,cellwise,500,8240008,completed,0.9958381903621696,77.87234325287751,pbmc
68067,0,1496.733226282,129658880,50,sketch_mad,68579,1600000,10000,372457472,20,cellwise,500,14000024,completed,0.9827719649728318,45.81912046567944,pbmc
