calibration_peak_state_bytes,calibration_size,clean_marginal_attenuation_rate,clean_target_correlation_error,clean_target_scale_scatter_error,contaminated_calibration_rows,contaminated_cells,diagnostics,effective_n,elapsed_seconds,k,marginal_clipped_coordinates,marginal_lambda,marginal_retained_contamination_rate,method,n,output_bytes,p,parallel_clipped_rows,parallel_lambda,rank,residual_clipped_rows,residual_lambda,scenario,seed,spectrum,state_bytes,status,subspace_error,throughput_rows_per_second,tier,transformed_target_compression_error,transformed_target_scatter_compression_error
0,512,0.0033141666666666666,3.244910095066277,0.85677530964653,0,0,"{'effective_n': 6000, 'trim_mode': 'iqr'}",6000,10.14728986,20,0,3.0,,sketch_iqr,6000,336000,200,0,4.0,10,0,1.5,clean,500,strong,184024,completed,0.46423496686192695,591.2908848353327,retention_audit,3.2515049419167967,0.8560723293437321
0,512,0.0028758333333333335,3.2446477709955004,0.8566868836868313,0,0,"{'effective_n': 6000, 'trim_mode': 'mad'}",6000,1.234793504,20,0,3.0,,sketch_mad,6000,336000,200,0,4.0,10,0,1.5,clean,500,strong,184024,completed,0.4642123534519421,4859.112054415214,retention_audit,3.251317589819647,0.856066375229616
5208512,512,0.0029537172011661807,3.2732202292279076,0.8790581053343354,0,0,"{'phase': 'estimating', 'ready': True, 'total_seen': 6000, 'epoch_index': 0, 'epoch_seen': 6000, 'calibration_count': 512, 'effective_n': 5488, 'serving_epoch': 0, 'serving_n': 5488, 'basis_rank': 20, 'parallel_radius': 14.765220916334496, 'residual_radius': 12.646500587941045, 'marginal_clipped_coordinates': 3242, 'parallel_clipped_rows': 1, 'residual_clipped_rows': 497, 'state_bytes': 100800, 'calibration_peak_state_bytes_bound': 5208512, 'epoch_history': []}",5488,0.62688807,20,3242,3.0,,dual_bound,6000,336000,200,1,4.0,10,497,1.5,clean,500,strong,100800,completed,0.5047742447625492,9571.086589668232,retention_audit,3.2691072590796724,0.8812977158149198
0,512,0.001807007888460833,2.4123093459508373,0.9915661088450584,0,109800,"{'effective_n': 6000, 'trim_mode': 'iqr'}",6000,10.576976482,20,0,3.0,0.237896174863388,sketch_iqr,6000,336000,200,0,4.0,10,0,1.5,casewise_cauchy,500,strong,184024,completed,0.9286123932580277,567.2698630096094,retention_audit,3.0598896516454612,0.9920962309842554
0,512,0.0014373509447807742,2.4097021506848435,0.9915600011837683,0,109800,"{'effective_n': 6000, 'trim_mode': 'mad'}",6000,1.263391564,20,0,3.0,0.23677595628415302,sketch_mad,6000,336000,200,0,4.0,10,0,1.5,casewise_cauchy,500,strong,184024,completed,0.927753210579129,4749.121468726223,retention_audit,3.054494019614347,0.9921034947851771
5208512,512,0.0029408787203887427,3.288230792862618,0.9039036416162957,0,109800,"{'phase': 'estimating', 'ready': True, 'total_seen': 6000, 'epoch_index': 0, 'epoch_seen': 6000, 'calibration_count': 512, 'effective_n': 5488, 'serving_epoch': 0, 'serving_n': 5488, 'basis_rank': 20, 'parallel_radius': 14.765220916334496, 'residual_radius': 12.646500587941045, 'marginal_clipped_coordinates': 88702, 'parallel_clipped_rows': 43, 'residual_clipped_rows': 993, 'state_bytes': 100800, 'calibration_peak_state_bytes_bound': 5208512, 'epoch_history': []}",5488,0.624823533,20,88702,3.0,0.21860655737704918,dual_bound,6000,336000,200,43,4.0,10,993,1.5,casewise_cauchy,500,strong,100800,completed,0.5714772608496601,9602.71129864758,retention_audit,3.430985727014193,0.9102059707865122
0,512,0.0018271323652833845,2.1973348238280934,0.99586177069952,0,109767,"{'effective_n': 6000, 'trim_mode': 'iqr'}",6000,10.07918412,20,0,3.0,0.2370931154172019,sketch_iqr,6000,336000,200,0,4.0,10,0,1.5,cellwise_cauchy,500,strong,184024,completed,0.8196990659024161,595.2862779929056,retention_audit,3.107364954218893,0.9970302599986717
0,512,0.001461155551152827,2.198704307488192,0.9958444872029527,0,109767,"{'effective_n': 6000, 'trim_mode': 'mad'}",6000,1.186640395,20,0,3.0,0.23585412737890257,sketch_mad,6000,336000,200,0,4.0,10,0,1.5,cellwise_cauchy,500,strong,184024,completed,0.818630268516527,5056.291716750466,retention_audit,3.106626292521453,0.9970092853534709
5208512,512,0.0029428051097705786,2.74944136480604,0.9705122552181729,0,109767,"{'phase': 'estimating', 'ready': True, 'total_seen': 6000, 'epoch_index': 0, 'epoch_seen': 6000, 'calibration_count': 512, 'effective_n': 5488, 'serving_epoch': 0, 'serving_n': 5488, 'basis_rank': 20, 'parallel_radius': 14.765220916334496, 'residual_radius': 12.646500587941045, 'marginal_clipped_coordinates': 88902, 'parallel_clipped_rows': 1, 'residual_clipped_rows': 5488, 'state_bytes': 100800, 'calibration_peak_state_bytes_bound': 5208512, 'epoch_history': []}",5488,0.783567319,20,88902,3.0,0.21656782092978763,dual_bound,6000,336000,200,1,4.0,10,5488,1.5,cellwise_cauchy,500,strong,100800,completed,0.6431289608638862,7657.287197298233,retention_audit,3.3330153026365164,0.9723595642652583
0,512,0.0051577692166574944,3.564148184951574,0.9120220745012405,0,109800,"{'effective_n': 6000, 'trim_mode': 'iqr'}",6000,10.524204524,20,0,3.0,1.0,sketch_iqr,6000,336000,200,0,4.0,10,0,1.5,bounded_out_of_subspace,500,strong,184024,completed,0.5391142992812195,570.1143479601956,retention_audit,3.134727889875196,0.8250065804590112
